# CLAUDE CODE USAGE EXPORT
# Generated:,2025-06-14T17:40:57.666002
# Total Records:,18148
# Total Cost (Actual from logs):,$0.0000
# Daily Average:,"7,955,507 tokens, $0.00"
# Monthly Estimate:,"238,665,220 tokens, $0.00"

# MODEL PRICING REFERENCE (per million tokens)
Model_ID,Display_Name,Input_Price,Output_Price,Cache_Creation_Price,Cache_Read_Price
<synthetic>,<synthetic>,$0.00,$0.00,$0.00,$0.00
claude-opus-4-20250514,Claude Opus 4,$15.00,$75.00,$18.75,$1.50
claude-sonnet-4-20250514,Claude Sonnet 4,$3.00,$15.00,$3.75,$0.30

# DAILY SUMMARY
Date,Total_Tokens,Input_Tokens,Output_Tokens,Cache_Creation_Tokens,Cache_Read_Tokens,Cost_USD,Requests,Avg_Cost_Per_Request
2025-06-07,5084446,140668,288300,4655478,155406900,0.0000,2164,0.0000
2025-06-08,8985550,113333,338045,8534172,206655914,0.0000,2911,0.0000
2025-06-09,12706185,282321,364178,12059686,255734507,0.0000,3646,0.0000
2025-06-10,9956236,199712,188261,9568263,132652101,0.0000,2124,0.0000
2025-06-11,12104009,370625,578933,11154451,214118859,0.0000,3307,0.0000
2025-06-12,16951827,218918,245052,16487857,163937649,0.0000,2689,0.0000
2025-06-13,4962415,222828,138090,4601497,63353006,0.0000,1001,0.0000
2025-06-14,624446,622,16201,607623,8307608,0.0000,215,0.0000
2025-06-15,224452,437,5532,218483,1815236,0.0000,91,0.0000

# DETAILED TRANSACTION DATA
Timestamp,Date,Project_Name,Session_ID,Model,Input_Tokens,Output_Tokens,Cache_Creation_Tokens,Cache_Read_Tokens,Total_Tokens,Cost_USD
2025-06-07T14:49:14.274000+00:00,2025-06-07,vip,ec976b20-43c3-40ef-8a5c-40b02155852b,claude-opus-4-20250514,4,1,15284,0,15289,0.0000
2025-06-07T14:49:19.793000+00:00,2025-06-07,vip,ec976b20-43c3-40ef-8a5c-40b02155852b,claude-opus-4-20250514,4,170,15284,0,15458,0.0000
2025-06-07T14:49:37.549000+00:00,2025-06-07,vip,ec976b20-43c3-40ef-8a5c-40b02155852b,claude-opus-4-20250514,4,280,11563,0,11847,0.0000
2025-06-07T14:49:39.393000+00:00,2025-06-07,vip,ec976b20-43c3-40ef-8a5c-40b02155852b,claude-opus-4-20250514,4,280,11563,0,11847,0.0000
2025-06-07T14:49:39.945000+00:00,2025-06-07,vip,ec976b20-43c3-40ef-8a5c-40b02155852b,claude-opus-4-20250514,4,280,11563,0,11847,0.0000
2025-06-07T14:49:40.625000+00:00,2025-06-07,vip,ec976b20-43c3-40ef-8a5c-40b02155852b,claude-opus-4-20250514,4,280,11563,0,11847,0.0000
2025-06-07T14:49:41.140000+00:00,2025-06-07,vip,ec976b20-43c3-40ef-8a5c-40b02155852b,claude-opus-4-20250514,4,280,11563,0,11847,0.0000
2025-06-07T14:49:41.236000+00:00,2025-06-07,xyz,2a20c4c9-5e47-4502-92e0-18774d04cc0e,claude-opus-4-20250514,4,4,4627,10192,4635,0.0000
2025-06-07T14:49:45.505000+00:00,2025-06-07,xyz,2a20c4c9-5e47-4502-92e0-18774d04cc0e,claude-opus-4-20250514,4,4,4627,10192,4635,0.0000
2025-06-07T14:49:51.076000+00:00,2025-06-07,xyz,2a20c4c9-5e47-4502-92e0-18774d04cc0e,claude-opus-4-20250514,4,103,1570,9577,1677,0.0000
2025-06-07T14:49:52.948000+00:00,2025-06-07,xyz,2a20c4c9-5e47-4502-92e0-18774d04cc0e,claude-opus-4-20250514,4,103,1570,9577,1677,0.0000
2025-06-07T14:49:57.586000+00:00,2025-06-07,xyz,2a20c4c9-5e47-4502-92e0-18774d04cc0e,claude-opus-4-20250514,7,77,890,11147,974,0.0000
2025-06-07T14:50:03.363000+00:00,2025-06-07,xyz,2a20c4c9-5e47-4502-92e0-18774d04cc0e,claude-opus-4-20250514,7,76,530,12037,613,0.0000
2025-06-07T14:50:08.373000+00:00,2025-06-07,xyz,2a20c4c9-5e47-4502-92e0-18774d04cc0e,claude-opus-4-20250514,7,75,387,12567,469,0.0000
